film_name,star,ranking,comment_num,year,direct,film_eng_name,quote,poster,genre
"肖申克的救赎,[可播放]",9.6,1,894830人评价,,"
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,
                            1994 / 美国 / 犯罪 剧情
                        ", / The Shawshank Redemption,希望让人自由。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480747492.jpg,
"霸王别姬,[可播放]",9.5,2,644473人评价,,"
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,
                            1993 / 中国大陆 香港 / 剧情 爱情 同性
                        ", / 再见，我的妾  /  Farewell My Concubine,风华绝代。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910813120.jpg,
"这个杀手不太冷,[可播放]",9.4,3,852790人评价,,"
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,
                            1994 / 法国 / 剧情 动作 犯罪
                        ", / Léon,怪蜀黍和小萝莉不得不说的故事。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p511118051.jpg,
"阿甘正传,[可播放]",9.4,4,726157人评价,,"
                            导演: Robert Zemeckis   主演: Tom Hanks / Robin Wright Penn / Gary Sinise,
                            1994 / 美国 / 剧情 爱情
                        ", / Forrest Gump,一部美国近现代史。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p510876377.jpg,
"美丽人生,[可播放]",9.5,5,423786人评价,,"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,
                            1997 / 意大利 / 剧情 喜剧 爱情 战争
                        ", / La vita è bella,最美的谎言。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p510861873.jpg,
"千与千寻,[可播放]",9.2,6,677231人评价,,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,
                            2001 / 日本 / 剧情 动画 奇幻
                        ", / 千と千尋の神隠し,最好的宫崎骏，最好的久石让。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910830216.jpg,
"辛德勒的名单,[可播放]",9.4,7,390204人评价,,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,
                            1993 / 美国 / 剧情 历史 战争
                        ", / Schindler's List,拯救一个人，就是拯救整个世界。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p492406163.jpg,
"泰坦尼克号,[可播放]",9.2,8,667886人评价,,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,
                            1997 / 美国 / 剧情 爱情 灾难
                        ", / Titanic,失去的才是永恒的。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p457760035.jpg,
"盗梦空间,[可播放]",9.2,9,777300人评价,,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,
                            2010 / 美国 英国 / 剧情 动作 科幻 悬疑 冒险
                        ", / Inception,诺兰给了我们一场无法盗取的梦。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p513344864.jpg,
"机器人总动员,[可播放]",9.3,10,507537人评价,,"
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,
                            2008 / 美国 / 喜剧 爱情 科幻 动画 冒险
                        ", / WALL·E,小瓦力，大人生。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p449665982.jpg,
